ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60642,22,05/24/2020,05/30/2020,9,148,45,732.6,188,1183,931,5856.1,0.1,0.1,2,9,9.9,44.6,20201,60642-22,POINT (-87.657821 41.899935)
60642,23,05/31/2020,06/06/2020,9,157,45,777.2,161,1344,797,6653.1,0.1,0.1,1,10,5.0,49.5,20201,60642-23,POINT (-87.657821 41.899935)
60642,24,06/07/2020,06/13/2020,12,169,59,836.6,289,1633,1431,8083.8,0.0,0.1,1,11,5.0,54.5,20201,60642-24,POINT (-87.657821 41.899935)
60612,24,06/07/2020,06/13/2020,12,707,35,2060.6,527,4468,1536,13022.1,0.0,0.2,1,25,2.9,72.9,34311,60612-24,POINT (-87.687011 41.88004)
60612,25,06/14/2020,06/20/2020,7,714,20,2081,441,4909,1285,14307.4,0.0,0.2,0,25,0.0,72.9,34311,60612-25,POINT (-87.687011 41.88004)
60827,39,09/20/2020,09/26/2020,4,110,14,384.9,,807,0,2823.9,0.0,0.1,0,8,0.0,28.0,28577,60827-39,POINT (-87.633087 41.650765)
60827,40,09/27/2020,10/03/2020,1,111,4,388.4,,807,0,2823.9,0.0,0.1,0,8,0.0,28.0,28577,60827-40,POINT (-87.633087 41.650765)
60827,41,10/04/2020,10/10/2020,2,113,7,395.4,,807,0,2823.9,0.0,0.1,0,8,0.0,28.0,28577,60827-41,POINT (-87.633087 41.650765)
60612,26,06/21/2020,06/27/2020,16,730,47,2127.6,523,5432,1524,15831.7,0.0,0.2,1,26,2.9,75.8,34311,60612-26,POINT (-87.687011 41.88004)
60643,28,07/05/2020,07/11/2020,51,850,102,1704.4,984,9233,1973,18514.1,0.1,0.1,1,64,2.0,128.3,49870,60643-28,POINT (-87.662381 41.700445)
60609,20,05/10/2020,05/16/2020,245,1328,398,2159.5,1010,3747,1642,6093.2,0.3,0.3,11,43,17.9,69.9,61495,60609-20,POINT (-87.653382 41.812017)
60643,29,07/12/2020,07/18/2020,42,892,84,1788.7,942,10175,1889,20403,0.1,0.1,0,64,0.0,128.3,49870,60643-29,POINT (-87.662381 41.700445)
