PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE,X COORDINATE,Y COORDINATE,LOCATION
GOMPERS (SAMUEL),40,BASKETBALL COURT,OUTDOOR,1148538.93306,1933584.67453,"{'latitude': '41.973698', 'longitude': '-87.729164', 'needs_recoding': False}"
GOMPERS (SAMUEL),40,CASTING PIER,OUTDOOR,1147974.4948799999,1933561.99609,"{'latitude': '41.973646', 'longitude': '-87.73124', 'needs_recoding': False}"
GOMPERS (SAMUEL),40,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1146396.09515,1934574.2178199999,"{'latitude': '41.976454', 'longitude': '-87.737018', 'needs_recoding': False}"
GOMPERS (SAMUEL),40,GYMNASIUM,INDOOR,1147096.6213100001,1934343.3183500001,"{'latitude': '41.975807', 'longitude': '-87.734448', 'needs_recoding': False}"
GOMPERS (SAMUEL),40,BASEBALL JR/SOFTBALL,OUTDOOR,1146534.4216499999,1934476.6884900001,"{'latitude': '41.976184', 'longitude': '-87.736512', 'needs_recoding': False}"
GOMPERS (SAMUEL),40,BASEBALL JR/SOFTBALL,OUTDOOR,1146250.94288,1934501.8866000001,"{'latitude': '41.976259', 'longitude': '-87.737554', 'needs_recoding': False}"
GOMPERS (SAMUEL),40,BASEBALL JR/SOFTBALL,OUTDOOR,1147675.89705,1934070.3684400001,"{'latitude': '41.975047', 'longitude': '-87.732325', 'needs_recoding': False}"
GOMPERS (SAMUEL),40,POOL (OUTDOOR),OUTDOOR,1146996.4358099999,1934371.1221,"{'latitude': '41.975886', 'longitude': '-87.734816', 'needs_recoding': False}"
GOMPERS (SAMUEL),40,PLAYGROUND,OUTDOOR,1146430.9254600001,1934330.3121400001,"{'latitude': '41.975784', 'longitude': '-87.736896', 'needs_recoding': False}"
GOMPERS (SAMUEL),40,SPORT ROLLER COURT,OUTDOOR,1146117.3926200001,1934655.5949599999,"{'latitude': '41.976683', 'longitude': '-87.738041', 'needs_recoding': False}"
GOMPERS (SAMUEL),40,SPRAY FEATURE,OUTDOOR,1146999.3508299999,1934481.89222,"{'latitude': '41.976189', 'longitude': '-87.734802', 'needs_recoding': False}"
GOMPERS (SAMUEL),40,TENNIS COURT,OUTDOOR,1147539.82711,1933667.1983099999,"{'latitude': '41.973943', 'longitude': '-87.732836', 'needs_recoding': False}"
GOMPERS (SAMUEL),40,TENNIS COURT,OUTDOOR,1147583.9238100001,1933667.1983099999,"{'latitude': '41.973943', 'longitude': '-87.732673', 'needs_recoding': False}"
GOMPERS (SAMUEL),40,TENNIS COURT,OUTDOOR,1147629.2806800001,1933668.4581500001,"{'latitude': '41.973945', 'longitude': '-87.732507', 'needs_recoding': False}"
GOMPERS (SAMUEL),40,TENNIS COURT,OUTDOOR,1147675.89705,1933667.1983099999,"{'latitude': '41.973941', 'longitude': '-87.732335', 'needs_recoding': False}"
GOMPERS (SAMUEL),40,TENNIS COURT,OUTDOOR,1147723.7736,1933667.1983099999,"{'latitude': '41.97394', 'longitude': '-87.732159', 'needs_recoding': False}"
